Num_Acc;dep;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;larrout;surf;infra;situ;vma
202100022009;40;1;A63;0;A;3;3;0;1;141;600;1;-1.0;1;0;1;130
202100023746;94;4;VLADIMIR ILLITCH LENINE (AV);0;Inconnu;-1;2;0;1;0;0;1;-1.0;1;0;1;50
202100019549;2A;2;20;0;T;2;2;0;1;-1;-1;2;-1.0;1;0;3;80
202100022748;75;4;AVENUE SIMON BOLIVAR;0;Inconnu;2;2;0;2;-1;-1;1;-1.0;1;0;1;50
202100051993;971;3;BOLOGNE (ROUTE DE);0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100038809;57;3;63;0;A;2;2;0;1;-1;170;1;-1.0;2;0;1;50
202100023370;971;4;;0;Inconnu;2;1;1;1;-1;-1;1;3.0;1;0;3;50
202100038829;17;3;939;-1;Inconnu;2;2;0;1;28;659;1;-1.0;2;0;1;80
202100013461;66;3;916;0;Inconnu;2;2;0;1;6;645;1;-1.0;1;0;1;70
202100017993;78;3;GENERAL DE GAULLE (RUE DU);0;Inconnu;-1;0;0;1;38;662;1;-1.0;1;9;1;50
202100023768;56;3;1;-1;Inconnu;2;2;0;1;132;250;1;7.0;1;0;4;50
202100051642;974;4;RAMBAUD (LEOPOLD);0;Inconnu;1;2;0;1;3;0;1;-1.0;2;0;1;70
202100047554;56;4;;-1;D;2;2;0;2;-1;-1;1;-1.0;1;0;1;50
202100048007;92;1;14;0;Inconnu;3;2;0;1;1;389;1;-1.0;2;1;1;70
202100007821;31;4;RUE RENE SENTENAC;0;Inconnu;2;1;0;1;-1;-1;1;-1.0;1;0;4;50
202100030831;64;4;ETIGNY D';0;Inconnu;2;5;1;1;0;0;1;-1.0;1;0;1;50
202100026987;2A;3;55;0;D;2;2;0;1;8;450;1;-1.0;1;0;1;50
202100034353;86;3;62;2;A;2;2;0;1;0;95;1;-1.0;1;0;1;50
202100003990;83;7;GIENS (ROUTE DE );0;Inconnu;2;2;0;1;4;530;1;-1.0;1;0;1;70
202100038100;45;3;921;0;Inconnu;2;2;0;1;71;500;2;-1.0;2;0;1;80
202100021116;93;3;GAGARINE (BOULEVARD);0;Inconnu;3;4;0;2;0;0;1;-1.0;1;5;1;50
202100006601;78;4;LOUIS BLERIOT (RUE);0;Inconnu;3;1;1;1;-1;-1;1;-1.0;1;0;1;50
202100039330;93;9;SEINE (QUAI DE);0;Inconnu;1;2;0;1;0;0;1;-1.0;2;0;1;50
202100004154;56;3;768;0;U;2;2;0;1;15;650;1;-1.0;2;0;1;80
202100005307;44;2;PERIPHERIQUE EST;0;Inconnu;1;2;0;1;6;900;1;-1.0;1;0;8;90
202100030245;94;4;HENRI ROUART (R);0;Inconnu;2;2;0;2;1;0;1;-1.0;1;0;1;50
202100053402;27;3;31;-1;D;2;2;0;1;14;700;1;-1.0;2;0;8;80
202100013469;1;3;1075;-1;Inconnu;2;2;0;1;37;175;1;-1.0;1;0;3;80
202100006663;35;4;;-1;Inconnu;2;2;-1;1;-1;-1;1;5.0;1;0;1;50
202100015971;92;3;911;0;Inconnu;1;3;1;1;0;0;1;-1.0;1;0;5;50
202100003676;31;4;GAMBETTA (BOULEVARD);0;Inconnu;-1;2;0;1;-1;-1;1;-1.0;2;0;1;50
202100035597;51;3;75;0;D;2;2;0;2;11;225;3;-1.0;1;0;1;50
202100038808;57;3;45;-1;Inconnu;2;2;0;1;11;400;1;-1.0;2;0;1;80
202100006200;93;1;AUTOROUTE A86;0;Inconnu;3;4;0;2;18;0;2;-1.0;2;0;1;90
202100020606;71;4;;0;Inconnu;2;2;0;1;-1;-1;2;4.0;1;0;1;50
202100042075;92;3;72;0;Inconnu;2;4;2;2;0;0;1;-1.0;1;0;1;50
202100021801;75;4;RUE DE VAUGIRARD;0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;30
202100040807;38;2;85;0;N;2;2;0;1;101;300;2;-1.0;1;0;1;50
202100031397;27;3;316;-1;Inconnu;2;2;0;2;8;170;3;-1.0;2;0;8;70
202100000684;13;4;GALICE (RTE DE);0;Inconnu;1;3;3;1;0;0;1;-1.0;1;0;1;50
202100015616;13;4;FRANÃ‡OISE DUPARC (BOULEVARD);0;Inconnu;2;4;0;1;0;0;1;-1.0;1;0;1;50
202100036255;13;4;ANDRE ZENATTI (AVENUE);0;Inconnu;2;2;0;1;1;0;1;-1.0;1;0;1;50
202100014709;71;3;979;0;Inconnu;2;2;0;1;45;0;2;-1.0;1;0;1;70
202100050078;93;4;RAMIERS (AVENUE);0;Inconnu;2;1;0;1;1;0;1;-1.0;1;0;1;50
202100020221;974;4;LORY LES BAS (RUE);0;Inconnu;1;1;0;1;0;0;1;-1.0;1;0;1;30
202100027898;76;3;LOUIS BLERIOT;0;Inconnu;2;2;0;1;2;739;1;-1.0;1;0;1;50
202100036776;67;4;RACINE (AVENUE);0;Inconnu;2;2;3;1;0;0;1;-1.0;1;4;6;50
202100041637;77;4;AV DE LA RESISTANCE;0;Inconnu;2;2;0;1;1;0;1;-1.0;1;0;1;50
