Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202100021165;163A 830;A01;9;2;4;1;1948;0;1;-1;-1;0;0;-1
202100020281;165A 383;A01;1;1;1;2;1965;1;1;8;-1;-1;-1;-1
202100047336;117A 153;A01;1;1;4;2;1972;0;2;0;-1;-1;-1;-1
202100008918;185A 779;B01;1;1;4;1;1985;9;8;0;-1;-1;-1;-1
202100009175;185A 315;A01;1;1;3;1;1960;5;1;-1;-1;0;0;-1
202100050277;111A 849;B01;1;1;4;1;1972;3;1;9;-1;0;0;-1
202100027012;153A 433;A01;1;1;1;1;1986;5;1;-1;-1;0;0;-1
202100028064;151A 549;A01;1;1;1;2;1957;5;1;-1;-1;0;0;-1
202100003701;195A 137;A01;1;1;4;2;2006;0;2;0;-1;-1;-1;-1
202100033813;141A 320;A01;1;1;1;1;1999;5;1;8;-1;-1;-1;-1
202100003702;195A 133;A01;1;1;1;1;2002;0;1;0;-1;-1;-1;-1
202100002138;197A 969;A01;1;1;1;1;1992;5;1;0;-1;0;0;-1
202100002853;196A 680;B01;1;1;4;1;1969;1;1;-1;-1;0;0;-1
202100055989;101A 809;B01;1;1;1;1;1959;4;1;-1;-1;0;0;-1
202100053374;106A 318;A01;1;1;3;1;1978;5;0;-1;-1;0;0;-1
202100002995;196A 422;B01;1;1;1;2;1986;5;1;-1;-1;0;0;-1
202100027592;152A 404;B01;1;1;4;1;1985;5;2;0;-1;-1;-1;-1
202100005618;191A 748;A01;2;2;4;1;1996;5;8;0;-1;-1;-1;-1
202100016546;172A 054;B01;1;1;1;1;1966;4;1;0;-1;-1;-1;-1
202100025884;155A 417;B01;1;1;4;1;1972;4;8;0;-1;-1;-1;-1
202100032982;142A 798;A01;1;1;4;2;1981;0;1;0;-1;-1;-1;-1
202100047257;117A 290;A01;1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
202100043615;123A 716;A01;10;3;3;2;1953;9;0;-1;-1;4;3;1
202100036354;136A 714;A01;1;1;3;1;1982;0;2;6;-1;-1;-1;-1
202100035343;138A 533;B01;1;1;4;1;1972;9;2;6;-1;-1;-1;-1
202100042071;126A 426;B01;1;1;1;2;1963;5;8;0;-1;-1;-1;-1
202100035066;139A 015;A01;1;1;1;2;1994;5;1;0;-1;0;0;-1
202100000081;201A 608;A01;2;2;4;1;1998;0;1;0;-1;-1;-1;-1
202100011377;181A 386;A01;2;2;1;2;1979;0;1;0;-1;0;0;-1
202100007317;188A 672;A01;1;1;4;1;1993;0;8;0;-1;0;0;-1
202100051903;108A 927;A01;4;2;1;2;2014;5;8;0;-1;-1;-1;-1
202100055949;101A 878;A01;2;2;4;1;1987;9;8;0;-1;-1;-1;-1
202100054668;104A 064;A01;1;1;4;1;1991;0;1;-1;-1;-1;-1;-1
202100007259;188A 781;B01;1;1;4;2;1970;5;1;8;-1;-1;-1;-1
202100040081;129A 952;A01;1;1;3;1;1996;9;2;0;-1;-1;-1;-1
202100012513;179A 344;A01;1;1;1;2;1955;3;1;-1;-1;0;0;-1
202100036197;136A 987;A01;1;1;1;1;1995;0;1;0;-1;-1;-1;-1
202100022676;161A 086;B01;1;1;4;1;1994;0;1;0;-1;-1;-1;-1
202100005091;192A 673;B01;1;1;1;1;1967;4;1;0;-1;0;0;-1
202100052527;107A 826;A01;1;1;2;2;1948;0;1;-1;-1;-1;-1;-1
202100018391;168A 750;A01;1;1;4;1;1999;9;1;-1;-1;0;0;-1
202100003208;196A 036;A01;1;1;3;2;2002;1;1;-1;-1;0;0;-1
202100021541;163A 135;B01;1;1;1;2;1988;5;1;-1;-1;0;0;-1
202100052713;107A 510;B01;1;1;4;1;1958;0;1;-1;-1;0;0;-1
202100003803;194A 959;A01;1;1;3;1;1965;0;2;-1;-1;-1;-1;-1
202100053574;105A 956;B01;1;1;4;1;2004;2;2;6;-1;-1;-1;-1
202100013770;177A 097;A01;2;2;1;1;1997;0;1;-1;-1;0;0;-1
202100025860;155A 462;A01;1;1;4;2;1985;5;1;-1;-1;0;0;-1
202100031965;144A 607;A01;2;2;1;1;1992;5;8;0;-1;-1;-1;-1
202100018151;169A 168;B01;1;1;4;1;1974;5;2;6;-1;-1;-1;-1
202100042223;126A 154;A01;2;2;4;1;1995;0;2;8;-1;-1;-1;-1
202100037947;133A 837;B01;1;1;4;1;1977;9;1;4;-1;-1;-1;-1
202100024771;157A 374;A01;3;2;4;1;2020;5;3;0;-1;0;0;-1
202100056442;101A 011;B01;1;1;1;2;1972;0;1;0;-1;-1;-1;-1
202100021376;163A 436;A01;1;1;4;2;1986;5;1;-1;-1;0;0;-1
202100007865;187A 680;B01;1;1;1;1;2001;1;1;0;-1;-1;-1;-1
202100022866;160A 747;B01;1;1;1;2;1990;3;8;-1;-1;0;0;-1
202100015295;174A 375;B01;1;1;3;1;1964;1;1;-1;-1;0;0;-1
202100010447;183A 049;A01;1;1;2;1;1946;0;1;-1;-1;0;0;-1
202100006021;191A 032;B01;1;1;4;1;1993;0;2;0;-1;-1;-1;-1
202100041428;127A 552;A01;1;1;4;1;2002;5;2;0;-1;-1;-1;-1
202100044253;122A 567;A01;1;1;4;1;1997;1;1;0;-1;0;0;-1
202100028454;150A 854;C01;1;1;1;1;1967;0;8;8;-1;-1;-1;-1
202100051614;109A 432;A01;2;2;2;2;1972;5;1;-1;-1;0;0;-1
202100027428;152A 692;A01;1;1;3;2;1982;9;1;-1;-1;0;0;-1
202100031940;144A 654;B01;1;1;1;1;2001;5;1;0;-1;-1;-1;-1
202100029194;149A 567;B01;1;1;4;2;1948;5;1;-1;-1;0;0;-1
202100019740;166A 360;B01;1;1;4;2;1958;0;1;0;-1;-1;-1;-1
202100025214;156A 593;A01;1;1;4;2;1996;5;1;9;-1;0;0;-1
202100013446;177A 702;A01;2;2;1;1;1955;5;1;-1;-1;0;0;-1
202100029831;148A 467;A01;1;1;1;1;1996;4;1;0;-1;0;0;-1
202100050638;111A 175;A01;1;1;3;1;1995;0;2;-1;-1;0;0;-1
202100002322;197A 641;B01;1;1;4;1;1990;0;1;-1;-1;0;0;-1
202100036246;136A 890;A01;1;1;1;1;1996;4;1;8;-1;-1;-1;-1
202100041095;128A 155;A01;1;1;1;1;2001;4;1;-1;-1;-1;-1;-1
202100031030;146A 274;B01;1;1;1;1;1954;1;1;5;-1;-1;-1;-1
202100008255;186A 958;Z01;1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
202100001481;199A 140;A01;3;2;3;1;2002;1;1;-1;-1;-1;-1;-1
202100051894;108A 943;A01;2;2;4;2;2002;0;1;0;-1;0;0;-1
202100006842;189A 554;A01;1;1;4;2;1959;4;1;-1;-1;0;0;-1
202100007037;189A 178;B01;1;1;4;1;1977;0;2;0;-1;-1;-1;-1
202100005745;191A 530;C01;1;1;4;1;2001;5;1;-1;-1;-1;-1;-1
202100017310;170A 710;B01;1;1;4;2;1990;1;1;-1;-1;0;0;-1
202100036454;136A 539;A01;10;3;4;2;1949;9;0;-1;-1;2;3;1
202100018335;168A 851;A01;1;1;1;2;2000;5;8;0;-1;-1;-1;-1
202100031437;145A 552;A01;1;1;1;1;1984;0;2;0;-1;-1;-1;-1
202100046259;119A 089;A01;1;1;3;2;1998;1;2;6;9;0;0;-1
202100016614;171A 941;C01;1;1;1;1;1996;9;1;0;-1;-1;-1;-1
202100034605;139A 856;A01;1;1;4;1;1984;5;2;6;-1;0;0;-1
202100013465;177A 669;B01;2;2;1;1;1977;0;1;-1;-1;0;0;-1
202100038291;133A 202;B01;1;1;1;1;1940;5;1;-1;-1;0;0;-1
202100002872;196A 641;A01;1;1;4;1;1995;0;8;0;-1;-1;-1;-1
202100003091;196A 236;A01;10;3;3;2;1983;5;0;-1;-1;3;3;2
202100043387;124A 110;A01;1;1;3;1;1992;1;2;6;9;0;0;-1
202100029642;148A 805;B01;1;1;3;2;1984;3;1;-1;-1;0;0;-1
202100000406;200A 977;B01;1;1;3;1;2001;0;2;6;-1;-1;-1;-1
202100053238;106A 567;A01;1;1;4;1;1990;4;2;6;-1;0;0;-1
202100009898;184A 002;A01;1;1;4;1;1971;1;1;-1;-1;-1;-1;-1
202100041640;127A 172;B01;1;1;4;2;1990;5;1;0;-1;-1;-1;-1
202100000865;200A 193;A01;10;3;3;1;1954;0;0;-1;-1;2;3;1
202100012121;180A 046;A01;1;1;1;1;1995;0;1;-1;-1;0;0;-1
202100035368;138A 490;D01;1;1;1;1;1957;5;2;-1;-1;0;0;-1
202100054047;105A 137;B01;1;1;4;1;1975;5;1;0;-1;-1;-1;-1
202100003042;196A 339;B01;1;1;4;1;1994;0;2;6;-1;-1;-1;-1
202100017062;171A 128;A01;2;2;4;2;1958;9;1;0;-1;0;0;-1
202100029506;149A 054;A01;1;1;4;1;1985;5;2;-1;-1;0;0;-1
202100039541;130A 913;A01;3;2;4;2;2021;0;1;0;-1;-1;-1;-1
202100002001;198A 215;A01;10;3;2;1;1953;3;0;-1;-1;3;3;2
202100000620;200A 596;B01;1;1;4;2;1972;3;1;0;-1;-1;-1;-1
202100001592;198A 963;B01;1;1;1;2;1996;0;1;0;-1;0;0;-1
202100019235;167A 250;B01;1;1;4;1;1993;3;8;0;-1;-1;-1;-1
202100010204;183A 466;A01;2;2;1;1;1994;5;1;-1;-1;0;0;-1
202100005927;191A 197;A01;1;1;1;1;1970;5;1;0;-1;-1;-1;-1
202100042290;126A 034;B01;1;1;1;1;1976;4;1;0;-1;-1;-1;-1
202100015316;174A 330;B01;1;1;4;1;1995;5;8;0;-1;-1;-1;-1
202100049542;113A 202;B01;1;1;4;2;1985;9;1;0;-1;-1;-1;-1
202100035267;138A 661;A01;1;1;1;1;1957;5;1;0;-1;-1;-1;-1
202100035176;138A 831;A01;2;2;4;1;1996;5;1;-1;-1;0;0;-1
202100032930;142A 899;A01;10;3;4;1;1936;0;0;-1;-1;4;3;1
202100036168;137A 041;A01;1;1;3;1;1983;0;2;-1;-1;0;0;-1
202100002864;196A 658;A01;1;1;3;1;1992;0;8;-1;-1;0;0;-1
202100023200;160A 150;A01;1;1;1;1;1974;5;1;-1;-1;0;0;-1
202100038634;132A 580;Z01;1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
202100018255;168A 986;A01;1;1;4;2;1964;1;1;-1;-1;0;0;-1
202100045347;120A 682;A01;10;3;4;1;2004;0;0;-1;-1;5;9;1
202100030655;146A 961;A01;1;1;4;1;1998;5;1;-1;-1;0;0;-1
202100012312;179A 726;A01;10;3;4;2;1981;1;0;-1;-1;5;A;-1
202100018722;168A 173;B01;1;1;4;1;1992;4;1;0;-1;-1;-1;-1
202100023618;159A 408;B01;3;2;4;2;1995;0;8;0;-1;-1;-1;-1
202100046349;118A 923;B01;1;1;1;2;1950;5;1;0;-1;-1;-1;-1
202100048168;115A 649;A01;1;1;1;1;1982;1;1;0;-1;-1;-1;-1
202100039685;130A 642;B01;1;1;1;1;1983;4;1;0;-1;-1;-1;-1
202100032960;142A 843;C01;1;1;1;2;1964;5;9;1;-1;0;0;-1
202100008544;186A 465;C01;2;2;4;1;2001;5;1;-1;-1;0;0;-1
202100037148;135A 286;B01;1;1;1;1;1990;1;1;8;-1;-1;-1;-1
202100035084;138A 985;A01;10;3;4;1;1950;0;0;-1;-1;4;3;2
202100019472;166A 831;A01;2;2;1;1;2002;0;1;0;-1;-1;-1;-1
202100031653;145A 176;A01;1;1;1;1;2002;0;1;-1;-1;0;0;-1
202100010365;183A 181;B01;2;2;1;2;1982;0;1;0;-1;-1;-1;-1
202100053958;105A 304;A01;1;1;4;1;1999;4;2;6;-1;0;0;-1
202100031971;144A 599;A01;10;3;3;2;1944;5;0;-1;-1;5;2;1
202100034346;140A 341;B01;1;1;1;1;1943;3;1;-1;-1;0;0;-1
202100039545;130A 906;C01;1;1;1;1;1995;1;1;0;-1;-1;-1;-1
202100028482;150A 803;A01;5;2;4;2;1998;5;1;0;-1;-1;-1;-1
202100005347;192A 230;B01;1;1;1;1;1936;5;8;0;-1;-1;-1;-1
202100032904;142A 947;A01;4;2;1;2;2020;5;3;8;-1;0;0;-1
202100053224;106A 599;B01;1;1;4;1;1966;1;2;6;-1;0;0;-1
202100038506;132A 814;A01;1;1;1;1;1990;0;8;-1;-1;-1;-1;-1
202100024487;157A 894;A01;1;1;1;1;1977;0;1;0;-1;-1;-1;-1
202100042017;126A 516;B01;3;2;4;1;2012;0;3;8;-1;-1;-1;-1
202100045764;119A 949;B01;2;2;4;2;2011;0;1;-1;-1;-1;-1;-1
202100016415;172A 295;A01;5;2;1;1;2004;2;1;-1;-1;0;0;-1
202100049393;113A 469;A01;1;1;1;1;1999;0;1;0;-1;-1;-1;-1
202100027328;152A 873;A01;2;2;1;1;2010;0;2;6;-1;-1;-1;-1
