id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
129A983;A01;1;33;0;2;3;1;1;0
192A850;B01;1;10;0;2;4;2;1;0
152A776;A01;1;33;0;2;1;3;3;0
193A398;A01;1;7;0;1;2;1;1;0
178A605;A01;2;7;0;1;2;1;1;0
187A823;A01;2;30;0;2;1;1;1;0
103A719;B01;1;1;0;2;1;1;5;0
164A572;B01;1;7;8;2;2;1;1;0
190A438;B01;3;15;0;2;3;1;1;0
146A391;B01;1;7;0;2;4;2;1;0
140A783;Z01;1;2;0;2;1;9;1;0
138A665;B01;1;7;0;2;8;1;1;0
148A724;B01;2;7;0;2;2;1;1;0
193A645;A01;2;7;0;2;1;9;1;0
113A788;B01;2;2;0;2;1;17;1;0
177A722;A01;2;7;0;2;1;2;1;0
122A144;A01;1;30;0;2;8;9;1;0
106A571;A01;1;7;0;2;4;2;1;0
183A614;D01;1;7;0;2;4;2;1;0
160A518;B01;1;7;0;2;7;1;1;0
181A468;B01;1;7;0;0;0;0;1;0
187A492;B01;1;1;0;2;8;1;0;0
144A731;B01;2;30;0;2;1;1;1;0
138A664;C01;1;7;0;2;2;0;1;0
105A943;A01;1;7;0;2;1;2;1;0
118A181;B01;1;1;0;2;4;23;5;0
118A773;A01;1;7;0;2;1;17;1;0
181A165;C01;2;7;0;2;3;1;1;0
101A483;A01;0;7;0;2;1;19;1;0
129A281;B01;3;32;0;2;1;1;1;0
182A037;B01;1;7;0;2;9;1;1;0
172A138;B01;1;7;0;2;0;0;1;0
190A762;A01;1;7;1;2;1;1;1;0
134A902;B01;1;3;0;2;3;1;1;0
195A590;B01;2;7;0;2;1;0;1;0
150A139;B01;1;1;0;2;8;1;5;0
113A180;B01;1;1;0;2;1;17;5;0
147A113;B01;3;60;0;2;7;2;5;0
123A333;A01;3;2;0;1;3;1;1;0
186A077;A01;1;1;0;2;7;5;5;0
131A699;B01;2;7;0;2;7;1;1;0
177A037;A01;2;43;0;2;2;3;1;0
136A293;B01;1;1;0;9;1;25;5;0
193A353;A01;2;10;0;1;3;10;1;0
152A915;A01;2;32;0;2;1;9;1;0
119A713;Z01;1;7;0;2;2;12;0;0
162A335;A01;1;7;0;2;8;13;1;0
153A292;B01;2;1;0;2;1;1;5;0
200A263;A01;1;7;0;2;3;2;1;0
118A825;A01;2;7;0;2;3;1;1;0
136A516;A01;3;7;0;2;1;2;1;0
142A637;B01;1;7;0;2;1;1;1;0
161A702;A01;2;7;3;0;8;26;1;0
182A815;A01;1;7;0;2;1;15;1;0
136A203;B01;1;32;0;2;4;11;1;0
137A831;A01;1;7;0;2;3;20;1;0
145A734;A01;2;30;0;2;8;1;1;0
186A010;A01;2;7;0;0;5;15;1;0
182A581;A01;2;7;0;2;1;12;1;0
175A733;B01;2;33;0;2;2;3;1;0
149A877;A01;2;2;0;2;1;13;1;0
119A757;A01;1;7;8;0;1;0;1;0
106A863;A01;1;7;0;1;3;1;1;0
131A607;D01;1;7;0;2;4;2;1;0
198A227;B01;0;7;0;2;3;1;1;0
199A816;B01;0;7;0;2;5;23;1;0
122A864;C01;1;7;0;2;6;1;1;0
190A285;B01;1;7;0;9;2;0;3;0
150A143;B01;2;33;0;2;1;1;1;0
177A482;A01;1;7;0;1;1;1;1;0
157A431;B01;2;50;0;2;8;2;3;0
140A650;B01;1;7;0;0;1;1;1;0
171A249;A01;1;2;0;2;1;26;1;0
117A605;A01;2;7;0;1;2;1;1;0
172A370;A01;1;37;0;2;3;0;1;1
118A478;Y01;2;1;0;0;0;0;5;0
106A549;A01;2;30;0;0;0;1;1;0
129A009;B01;1;2;0;2;1;26;1;0
178A916;B01;1;7;0;0;4;2;1;0
